"Year","Index_Delta","Index_Liberty_Island","Index_Sacramento","Index_San_Joaquin","Index_Yolo","Index_Watershed"
1995,0.000316287507645532,NA,0.000992063492063492,0,NA,NA
1996,0.000102880658436214,NA,0.00485187761973476,0,NA,NA
1997,0,NA,0.000595238095238095,0.00319664902998236,NA,NA
1998,0.000165752171925011,NA,0.000505050505050505,0.00173611111111111,NA,NA
1999,0.000110229276895944,NA,0.0143207335543645,0.00677360090306519,NA,NA
2000,0,NA,0.00519029581529581,0.000793650793650794,0.00740740740740741,NA
2001,0,NA,0.00037202380952381,0.000694444444444444,0.0111111111111111,NA
2002,0.000318980721279572,NA,0.00988992819349962,0,0,NA
2003,0.0000435388366422849,0,0.023170695045695,0.00291545189504373,0.00600961505524225,0.0321393008326233
2004,0,0,0.00686907338693053,0,0,0.00686907338693053
2005,0.0148172393981781,NA,0.124048664078426,0.0407441681935188,0.150092592592593,NA
2006,0.180315005077936,NA,0.0438645096085572,1.00591089911411,NA,NA
2007,0,NA,0.0258240461588676,0,NA,NA
2008,0,NA,0.032245920773093,0.00222222222222222,0,NA
2009,0.000280583613916947,NA,0.0328961443884913,0.042282848324515,0.00694444444444444,NA
2010,0,0,0.00635931069958848,0.000568181818181818,NA,NA
2011,0.014653862901969,0.00041378374711708,0.0175733057226564,1.29181980861462,0.0017770231311898,1.32623778411755
2012,0,0,0.134372249278499,0.00158730158730159,0.0119115823412698,0.147871133207071
2013,0,0,0.0101008535253327,0,0.00196961492220343,0.0120704684475361
2014,0.00198412698412698,0,0,0.00222978080120937,0.000661375661375661,0.00487528344671202
2015,0,0.005,0.00312369845897543,0,0,0.00812369845897543
2016,0,0,0.00209263392857143,0,0.000815237377975835,0.00290787130654726
2017,0,0,0.0183390022675737,0.012526455026455,0,0.0308654572940287
2018,0,0,0.00198688271604938,0,0.00546296296296296,0.00744984567901235
2019,0.00481257014590348,NA,0.0268543038269601,0.00705467372134039,0.00709060773016859,NA
