"Year","Index_Delta","Index_LI","Index_SJ","Index_Sac","Index_Yolo","log_Index_Delta","log_Index_LI","log_Index_SJ","log_Index_Sac","log_Index_Yolo","Index_Watershed","MeanFlow_SJ","MeanFlow_Sac","MeanFlow_Delta","MeanFlow_Yolo","FlowTiming_SJ","FlowTiming_Sac","FlowTiming_Delta","FlowTiming_Yolo","MeanWT_Delta","MeanWT_LI","MeanWT_Sac","MeanWT_SJ","MeanWT_Yolo"
1995,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,18187.7419354839,51374.1935483871,72909.8064516129,6588.91935483871,146.415744386506,145.333699610699,142.820161144746,126.144428696272,17.9275752083117,NA,17.5652500759619,17.6037618065036,NA
1996,0.000102880658436214,NA,0,0.00485187761973476,NA,-9.18194089745448,NA,NA,-5.32838951086172,NA,NA,6126.29032258064,31875.8064516129,30910.6935483871,524.838709677419,146.292472948424,148.922734402672,145.043076751286,142.786539643516,19.4789102823171,NA,19.3404637562151,18.2023798172693,NA
1997,0,NA,0.00319664902998236,0.000595238095238095,NA,NA,NA,-5.74565219598106,-7.4265490723973,NA,NA,3770.32258064516,13241.4516129032,10416.5322580645,538.5,144.366358658453,153.754388101879,147.028538690822,152.028034863869,20.9085912259403,NA,19.5244049369722,20.4343226568678,NA
1998,0.000165752171925011,NA,0.00173611111111111,0.000505050505050505,NA,-8.70501682536418,NA,-6.35610766069589,-7.59085212368858,NA,NA,17864.5161290323,51817.7419354839,69289.1290322581,2262.29032258065,150.747201155652,150.98396986958,150.166494022476,153.419415094609,17.1614148940917,NA,15.9998641356502,18.8278209764919,NA
1999,0.000110229276895944,NA,0.00677360090306519,0.0143207335543645,NA,-9.11294802596753,NA,-4.99472244231491,-4.24604689289819,NA,NA,4352.25806451613,18619.3548387097,18261.6129032258,583.790322580645,144.060850874592,148.476437976438,145.032018512303,151.702168807846,19.251048773086,NA,20.5929349816875,20.7661187327379,16.33
2000,0,NA,0.000793650793650794,0.00519029581529581,0.00740740740740741,NA,NA,-7.13886699994552,-5.26096458626179,-4.90527477843843,NA,3841.29032258065,18409.6774193548,15846.6612903226,559.806451612903,145.71569533087,148.792798317855,142.913024316713,155.008643540394,20.0194174664093,NA,20.2148550980677,19.4482748088246,23.195
2001,0,NA,0.000694444444444444,0.00037202380952381,0.0111111111111111,NA,NA,-7.27239839257005,-7.89655270164304,-4.49980967033027,NA,2579.1935483871,10680.3225806452,8669.45161290323,575.661290322581,142.880432743418,153.500362439216,148.467382689682,151.13249838895,21.5578766782572,NA,20.9401550926555,21.0910540343436,19.7225
2002,0.000318980721279572,NA,0,0.00988992819349962,0,-8.05037989186597,NA,NA,-4.61623839388959,NA,NA,2107.74193548387,13395.8064516129,10597.2419354839,530.354838709677,144.038644015917,152.313374431093,147.046891385312,152.190681832005,20.0828457060421,NA,20.0181064306719,19.2942286135884,22.1846153846154
2003,0.0000435388366422849,0,0.00291545189504373,0.023170695045695,0,-10.0418572218009,NA,-5.83773044716594,-3.76486694333153,NA,0.0261296857773811,2350.16129032258,31706.4516129032,27502.8870967742,1253.59677419355,147.344108160044,143.999847390375,138.784413835732,136.115731508048,20.1136019788055,19.5455337235662,18.5928925144845,20.0465935898128,22.559649122807
2004,0,0,0,0.00686907338693053,0,NA,NA,NA,-4.98072606002081,NA,0.00686907338693053,2055.8064516129,13775.8064516129,9185.06451612903,541.564516129032,145.482347403107,153.244233696288,146.758626381538,153.353634928671,21.1938502184126,20.3462572414487,20.3302919806016,21.4676753328404,22.2991666666667
2005,0.0148172393981781,NA,0.0407441681935188,0.124048664078426,0.150092592592593,-4.2119639518922,NA,-3.20044256135223,-2.08708133812097,-1.89650289137663,NA,10150.3225806452,34240.3225806452,39442.6290322581,1057.83870967742,149.844959638975,149.601158792218,147.00670267105,146.223508065746,19.0962218239914,NA,18.9620993669967,18.3966078790618,21.2440476190476
2006,0.180315005077936,NA,1.00591089911411,0.0438645096085572,NA,-1.71304992939634,NA,0.0058934982859681,-3.12664972302527,NA,NA,21116.1290322581,40366.1290322581,59714.5967741935,2230.75806451613,145.947754353804,143.84920286091,142.307590001364,130.324640112214,19.6185249150363,NA,18.9743287896179,19.7519419380685,18.35
2007,0,NA,0,0.0258240461588676,NA,NA,NA,NA,-3.65644919945554,NA,NA,2344.83870967742,10781.935483871,8650.29032258065,568.096774193548,145.580960242124,153.248863092389,148.469836925108,153.558770086878,20.5453716434449,NA,20.7244729552071,19.448680056802,20.3333333333333
2008,0,NA,0.00222222222222222,0.032245920773093,0,NA,NA,-6.10924758276437,-3.43436373139662,NA,NA,1927.51612903226,10003.2258064516,7803.27419354839,587.274193548387,142.914874566967,154.30109642051,150.574074571675,153.549504270687,20.4231222958266,NA,20.0110391732002,20.4820908164307,20.4013665105929
2009,0.000280583613916947,NA,0.042282848324515,0.0328961443884913,0.00694444444444444,-8.1786387885907,NA,-3.16337375211974,-3.41439981991748,-4.969813299576,NA,1630.46774193548,14187.0967741935,12052.2419354839,531.693548387097,144.489044307491,147.089097316962,143.343714661574,152.891551645685,20.7507490711377,NA,20.3417901566583,21.5559186170316,20.7668972332016
2010,0,0,0.000568181818181818,0.00635931069958848,NA,NA,NA,-7.4730690880322,-5.05783528807155,NA,NA,4553.54838709677,19162.9032258065,18819.0806451613,489.887096774194,147.86522385945,150.564178099487,146.696227147636,155.566325354756,19.1596467251425,19.192090936218,19.2008503077767,18.055915504561,21.4
2011,0.014653862901969,0.00041378374711708,1.29181980861462,0.0175733057226564,0.0017770231311898,-4.22305129896105,-7.79016707056997,0.256051928617431,-4.04137424862625,-6.33281571290515,1.32623778411755,11790.9677419355,38024.1935483871,44781.7580645161,578.5,148.067793827971,151.375906680806,149.117370300191,153.565087685059,18.0355932914158,18.5016025203205,18.2918639638796,16.6882063798874,21.1777973646541
2012,0,0,0.00158730158730159,0.134372249278499,0.0104115823412698,NA,NA,-6.44571981938558,-2.00714135079532,-4.56483640586319,0.146371133207071,2305.48387096774,14010.1612903226,10733.5322580645,579.516129032258,146.329718763117,149.908419004639,145.83936232398,153.908739215141,20.7674400593324,20.1571716069086,20.0331626180202,20.6940052493455,21.5724307692308
2013,0,0,0,0.0101008535253327,0.00196961492220343,NA,NA,NA,-4.5951353512468,-6.22991722630191,0.0120704684475361,1581.6935483871,12274.3548387097,9043.3064516129,607.225806451613,138.490949880182,152.560032062654,148.663959264114,151.511474713132,21.045384838076,20.0339745415582,20.2143086002028,20.7582692749301,22.508145711501
2014,0.00198412698412698,0,0.00222978080120937,0,0.000661375661375661,-6.22257626807137,NA,-6.10585199376323,NA,-7.32118855673948,0.00487528344671202,971.225806451613,7274.03225806452,4773.08064516129,611.709677419355,136.530955227846,154.817734317834,152.949761937749,154.234324737647,21.9041975951811,21.8131578494747,22.1055601756621,20.2610022496705,22.3700491567082
2015,0,0.005,0,0.00312369845897543,0,NA,-5.29831736654804,NA,-5.76873757567899,NA,0.00812369845897543,267.838709677419,7097.74193548387,5353.08064516129,599.983870967742,144.932072744791,150.437940280871,148.807382544269,151.433264335063,21.6337274758313,20.0323929841178,21.751314173769,23.126145349495,21.5139670781893
2016,0,0,0,0.00209263392857143,0.000815237377975835,NA,NA,NA,-6.16933175355256,-7.11203122581171,0.00290787130654726,1316.6935483871,13553.2258064516,9663.61290322581,555.758064516129,140.588166840203,152.586957039153,147.602718211315,153.390051368372,21.0616758779476,21.7856654585548,21.0616082643265,21.1704014988573,21.6795626702934
2017,0,0,0.012526455026455,0.0183390022675737,0,NA,NA,-4.37991246898155,-3.99872521561983,NA,0.0308654572940287,16774.1935483871,38025.8064516129,48035.4032258065,1616.33870967742,147.405576923077,143.593145571768,142.054551162701,133.800874138086,18.772093026081,20.4375,18.8293025246763,16.8047802218552,23.4978072468754
2018,0,0,0,0.00198688271604938,0.00546296296296296,NA,NA,NA,-6.22118834279652,-5.20976396920659,0.00744984567901235,3383.03225806452,11470.6451612903,10134.3387096774,497.354838709677,140.567371321777,151.581287437779,145.790312081728,153.497470489039,20.5482864335974,20.7166665395101,21.537815983759,19.9178834995464,22.4129661285217
2019,0.00481257014590348,NA,0.00705467372134039,0.0268543038269601,0.00709060773016859,-5.33652400370231,NA,-4.95406494260786,-3.61732917936568,-4.94898422558566,NA,11692.9032258065,33406.4516129032,41851.3870967742,385.193548387097,151.023918561024,147.687331015836,146.400247650481,144.600200988192,18.1210226751993,21.6000003814697,19.5254386532269,15.3988670730383,21.9297491281866
