"Year","Index_Yolo","log_Index_Yolo","MeanFlow_Yolo","FlowTiming_Yolo","MeanWT_Yolo","MeanFlow_Yolo_stnd","FlowTiming_Yolo_stnd","MeanWT_Yolo_stnd","PC1","PC2","PC3"
2004,0.00694444444444444,-4.969813299576,1092.94666666667,88.1321686938063,19.8037229437229,-0.502713752257923,-1.03622461909903,1.62546736556138,0.415887139902072,1.99433119876619,-0.433177147761555
2008,0.0423047746862333,-3.1628553225569,431.946666666667,112.831553278182,19.7532777818821,-0.625968074696069,0.887116873500178,1.5700829674862,1.21094615739005,0.620563341153133,1.62961035337085
2009,0.0191197689899085,-3.95703245354962,368.226666666667,109.812760256364,18.5039473684211,-0.637849716792527,0.65204341016764,0.198426887465622,0.642730803811723,-0.303197142568001,-0.075033367146776
2011,0.000492931547619048,-7.61514024220485,14966.0933333333,86.61298918355,18.009926525716,2.08416263576781,-1.15452315308885,-0.343965009227362,-1.61094188489605,0.5577715032256,1.73598613062291
2012,0.000223214285714286,-8.40737832540903,331.146666666667,113.311523594782,17.5480495529735,-0.644763892701765,0.92449217011857,-0.85106573378963,0.384004433685696,-1.32225625954758,-0.828823234874206
2013,0.00712167226364084,-4.94461271264666,476.946666666667,108.088171982891,17.8522962962963,-0.617577084514955,0.517749692334731,-0.517029284497502,0.328593376097117,-0.776548593315163,-0.934059834632988
2014,0.00317403789626012,-5.75275071735874,283.146666666667,116.910340930495,18.6856205682012,-0.653714282228287,1.20473213652003,0.397888252025563,0.937155993950467,-0.52714807596689,0.770322808603931
2015,0.00256221830295904,-5.96688187111299,492.04,109.090615939084,18.3280615737195,-0.614762684252726,0.595810020047145,0.00531959007472512,0.541343490966653,-0.416880441380549,-0.30161662523782
2016,0.00301832846804111,-5.80305208822966,4544.30666666667,79.7739002356062,18.5669100257463,0.140849089330757,-1.68708312437971,0.267554406337998,-0.636738398668982,1.37888644569622,-1.53110235195201
2017,0.00204470556642199,-6.19250147715286,11176.8666666667,100.335281802294,16.8234675536881,1.37759899678968,-0.0859679962970676,-1.64659371748768,-1.29845407182134,-1.22241231089903,0.516970106767382
2018,0.0021494708994709,-6.14253356039783,503.04,106.394057463952,18.8042391269191,-0.612711553319565,0.385828966279422,0.528121107574118,0.641841771647984,0.142012739102368,-0.0182289719218454
2019,0.00865200441479393,-4.74996426062863,10800.6666666667,85.9779408678477,17.1990773630653,1.30745031887557,-1.20397437610305,-1.23420683152344,-1.55636881206539,-0.125122404266304,-0.530847865837864
