"Year","Index_LI","log_Index_LI","MeanFlow_Yolo","FlowTiming_Yolo","MeanWT_LI","MeanFlow_Yolo_stnd","FlowTiming_Yolo_stnd","MeanWT_LI_stnd","PC1","PC2","PC3"
2003,0.0573242784218614,-2.85903103781218,1306.81308411215,109.286871822011,16.3653686117636,-0.470971421389638,0.461727194393968,-0.668364934406942,-0.615131730983403,-0.425059227657512,-0.0426656778364632
2004,0.347143881016103,-1.0580159422781,11159.9444444444,62.3685908764314,18.0154767932729,0.883964746337581,-1.79749319427324,0.362436098352075,1.37913174154398,-0.321921978851474,-1.40113148109301
2010,0.0670534403867737,-2.70226535980609,633.214953271028,99.8848924048765,15.5990873867562,-0.563600093089323,0.0090008121623343,-1.14705080905002,-0.561424278111031,-0.988531641534685,-0.906542226718388
2011,0.501161705615079,-0.690826464276155,10813.3177570093,86.4983824895746,15.4348524185008,0.83629898219319,-0.635589644355555,-1.24964624902775,0.392336725447347,-1.64131931798382,0.22770193444747
2012,0.0737634741801408,-2.60689159970228,337.75,120.013597609453,17.1317691865168,-0.604230440624774,0.978243083600145,-0.189604503536216,-0.807499522928358,0.217468143674614,0.575381884169658
2013,0.00503703703703704,-5.29093725925041,454.373831775701,114.501378090419,18.3057018229836,-0.588193117878018,0.712817358845746,0.543735884457415,-0.488036352902102,0.88315946413283,0.230874172452125
2014,0.00117283950617284,-6.74832754205404,307.953271028037,124.728445267215,18.8235319274504,-0.608327885821396,1.20527356603045,0.867217588541723,-0.653703602580424,1.33248990616863,0.97577703044214
2015,0.0108225108225108,-4.52612697864764,474.439252336449,112.769073180341,17.3055381692553,-0.585433856578827,0.62940299469255,-0.0810532892125017,-0.603269028123582,0.2362075462568,0.0728834269640044
2016,1.05385112877643,0.0524511960981547,3317.5462962963,81.3520478934956,20.290013111796,-0.194468951950647,-0.883397189986881,1.78330923409823,0.779885831384458,1.62662949362129,-1.55962133311495
2017,0.964843112991261,-0.0357897680713868,22796.4485981308,72.7920827149663,18.9562270785426,2.48413831219635,-1.29557869936583,0.950110516605896,2.04955079858173,-0.0610238031693392,1.84036273447781
2018,0.00444444444444444,-5.41610040220442,447.224299065421,112.482289511629,15.5606061473037,-0.589176273394498,0.615593718256306,-1.17108953682191,-0.871840581328621,-0.858098584657326,-0.0130204641903976
